model,date,item,flesch_reading_ease,gulpease_index,flesch_kincaid_grade_level,gunning_fog_index,automated_readability_index,coleman_liau_index,final_readability_score,bertscore,comet,metricx_ref,metricx_qe
Grok-4,25-07-25,13,50.83415477629987,47.863361547763,11.638888754534463,10.13075,14.694581620314388,15.03361547762999,12.87445896311971,0.6924444437026978,0.7648633718490601,0.02365044504404068,0.02365044504404068
Grok-4.1,25-12-10,14,49.241018773466834,47.360450563204004,11.722163954943678,9.78775,14.85182853566959,15.544180225281607,12.976480678973719,0.6920250654220581,0.7731168866157532,0.04699086397886276,0.04699086397886276
Human,25-09-30,15,76.60384227537168,61.8054298642534,6.228638655462184,6.188,8.993675500969612,11.850226244343894,8.315135100193922,0.6838275194168091,0.7610449194908142,0.14461037516593933,0.14461037516593933
Maritaca-ai-Sabia-3.1,25-07-24,16,52.29088090932575,50.68354430379747,10.47344872126066,7.9,13.278940842159649,15.436455696202536,11.77221131490571,0.6884137392044067,0.774658739566803,0.0650467798113823,0.0650467798113823
Mistral-Medium-3,25-07-24,17,40.79181092094538,42.9119804400978,14.472234718826407,13.360666666666665,18.258947025264874,16.05867970660147,15.537632029339854,0.6914330720901489,0.7721766829490662,0.06478872150182724,0.06478872150182724
MoonshotAI-Kimi-K2,25-07-24,18,57.26961522198732,56.36918604651163,8.996295983086679,6.1294545454545455,11.546151162790697,14.89244186046512,10.39108588794926,0.6800260543823242,0.7200723886489868,0.2159932553768158,0.2159932553768158
Nvidia-Llama-3.1-Nemotron-Ultra-253B-v1,25-07-24,19,42.64353413654618,43.53012048192771,14.288674698795177,13.556666666666667,18.0774297188755,15.650120481927715,15.393222891566264,0.6927979588508606,0.7551406025886536,0.20613344013690948,0.20613344013690948
OpenAI-GPT-4.1,25-07-24,20,48.22031920199501,47.05486284289277,11.885331670822943,9.8245,14.999556109725688,15.682793017456362,13.098045199501248,0.6862492561340332,0.7710196375846863,0.16051486134529114,0.16051486134529114
OpenAI-GPT-5.1-Pro,25-12-10,21,40.66293715194908,43.236276849642,14.630701670644392,13.687333333333333,18.282313444709622,15.760143198090692,15.590122911694511,0.688747763633728,0.7844014763832092,-0.027416778728365898,-0.027416778728365898
OpenAI-o3,25-04-16,22,39.261138211382104,42.68292682926829,14.707317073170728,13.393333333333333,18.381300813008124,16.169756097560978,15.66292682926829,0.6886367201805115,0.7761800289154053,0.06236068531870842,0.06236068531870842
qwen-3-235b-a22b-no-thinking,25-07-24,23,40.10682430213464,42.7807881773399,14.529221674876851,13.262666666666666,18.26869293924466,16.167733990147784,15.557078817733991,0.6854576468467712,0.7813467979431152,-0.06869744509458542,-0.06869744509458542
qwen-3-max,25-07-24,24,50.81790550795591,50.028151774785805,10.73184920440637,8.0066,13.56218261933904,15.673929008567935,11.993640208078336,0.6779555082321167,0.7782673239707947,-0.10293903946876526,-0.10293903946876526
